#################################################
# List of available commands
# Add commands from your own extensions here as
#################################################

Next Error|View.NextError
Capitalize|Edit.Capitalize
Swap Anchor|Edit.SwapAnchor
Goto Brace|Edit.GotoBrace
#Goto Brace Extend|Edit.GotoBraceExtend
Overtype Mode|Edit.OvertypeMode
Line Cut|Edit.LineCut
Line Delete|Edit.LineDelete
Delete Blank Lines|Edit.DeleteBlankLines
Delete Horizontal White Space|Edit.DeleteHorizontalWhiteSpace
Line Open Above|Edit.LineOpenAbove
Line Open Below|Edit.LineOpenBelow
Increase Line Indent|Edit.IncreaseLineIndent
Decrease Line Indent|Edit.DecreaseLineIndent
Clear Bookmarks|Edit.ClearBookmarks
Toggle Bookmark|Edit.ToggleBookmark
Next Bookmark|Edit.NextBookmark
Previous Bookmark|Edit.PreviousBookmark
Char Transpose|Edit.CharTranspose
Word Transpose|Edit.WordTranspose
Line Transpose|Edit.LineTranspose
Select Current Word|Edit.SelectCurrentWord
Selection Cancel|Edit.SelectionCancel
Parameter Info|Edit.ParameterInfo
View White Space|Edit.ViewWhiteSpace
Paste Moves Caret|Edit.PasteMovesCaret
Complete Word|Edit.CompleteWord
List Members|Edit.ListMembers
#Line Start After Indentation Prev|Edit.LineStartAfterIndentationPrev
#Line Start After Indentation Next|Edit.LineStartAfterIndentationNext
Format Selection|Edit.FormatSelection
Format Document|Edit.FormatDocument
Format|Edit.FormatDocument
Insert File As Text|Edit.InsertFileAsText
Toggle Task List Shortcut|Edit.ToggleTaskListShortcut
Quick Info|Edit.QuickInfo
Char Left Extend Column|Edit.CharLeftExtendColumn
Char Right Extend Column|Edit.CharRightExtendColumn
Line Up Extend Column|Edit.LineUpExtendColumn
Line Down Extend Column|Edit.LineDownExtendColumn
Toggle Word Wrap|Edit.ToggleWordWrap
Incremental Search|Edit.IncrementalSearch
Reverse Incremental Search|Edit.ReverseIncrementalSearch
Line Start Extend Column|Edit.LineStartExtendColumn
Line End Extend Column|Edit.LineEndExtendColumn
Word Previous Extend Column|Edit.WordPreviousExtendColumn
Word Next Extend Column|Edit.WordNextExtendColumn
Hide Selection|Edit.HideSelection
Toggle Outlining Expansion|Edit.ToggleOutliningExpansion
Toggle All Outlining|Edit.ToggleAllOutlining
Stop Outlining|Edit.StopOutlining
Stop Hiding Current|Edit.StopHidingCurrent
Collapse To Definitions|Edit.CollapsetoDefinitions
Double Click|Edit.DoubleClick
Comment Selection|Edit.CommentSelection
Comment|Edit.CommentSelection
Uncomment Selection|Edit.UncommentSelection
Uncomment|Edit.UncommentSelection
#Select To Last Go Back|Edit.SelectToLastGoBack
#Hide Advanced Completion Members|Edit.HideAdvancedCompletionMembers
Start Automatic Outlining|Edit.StartAutomaticOutlining
#Increase Filter Level|Edit.IncreaseFilterLevel
#Decrease Filter Level|Edit.DecreaseFilterLevel
#Show Smart Tag|View.ShowSmartTag
#Copy Parameter Tip|Edit.CopyParameterTip
#Paste Parameter Tip|Edit.PasteParameterTip
Next Bookmark In Document|Edit.NextBookmarkInDocument
Previous Bookmark In Document|Edit.PreviousBookmarkInDocument
Invoke Snippet From Shortcut|Edit.InvokeSnippetFromShortcut
Clear All Bookmarks In Document|Edit.ClearAllBookmarksInDocument
#Convert Tabs To Spaces|Edit.ConvertTabsToSpaces
#Convert Spaces To Tabs|Edit.ConvertSpacesToTabs
Stop|View.Stop
#Reverse Cancel|Edit.ReverseCancel
#Save Copy of Selected Items As|File.SaveCopyofSelectedItemsAs
Increase Indent|Format.IncreaseIndent
Decrease Indent|Format.DecreaseIndent
Remove Tag Handler|Edit.RemoveTagHandler
Edit Tag Handler|Edit.EditTagHandler
Add Tag Handler|Edit.AddTagHandler
Details|View.Details
Insert Bookmark|Format.InsertBookmark
#Switchto Quick Find|Edit.SwitchtoQuickFind
#Switchto Findin Files|Edit.SwitchtoFindinFiles
#Switchto Find Symbol|SwitchtoFindSymbol
#Switchto Quick Replace|Edit.SwitchtoQuickReplace
#Switchto Replacein Files|Edit.SwitchtoReplaceinFiles
#Superscript|Format.Superscript
#Subscript|Format.Subscript
#Auto Close Tag Override|View.AutoCloseTagOverride
Validate Document|Edit.ValidateDocument
Edit Master|View.EditMaster
Insert Snippet|Edit.InsertSnippet
Formatting And Validation|OtherContextMenus.HTMLContext.FormattingandValidation
Collapse Tag|Edit.CollapseTag
Select Tag|Edit.SelectTag
Select Tag Content|Edit.SelectTagContent
Stop Outlining Tag|Edit.StopOutliningTag
Generate Local Resource|Tools.GenerateLocalResource
Static|Layout.Static
Edit Image|OtherContextMenus.Context.EditImage
Compile|Build.Compile
Link|Build.Link
Startnewinstance|ClassViewContextMenus.ClassViewProject.Debug.Startnewinstance
Step Intonewinstance|ClassViewContextMenus.ClassViewProject.Debug.StepIntonewinstance
Update Managed Resources|Project.UpdateManagedResources
Add Resource|Project.AddResource
Tool Build Order|Project.ToolBuildOrder
Build Customizations|Project.BuildCustomizations
Instrument|Build.Instrument
Optimize|Build.Optimize
Run Instrumented Optimized Application|Build.RunInstrumentedOptimizedApplication
New Project From Existing Code|File.NewProjectFromExistingCode
Update V C++projects|Project.UpdateVC++projects
Update Solution|Project.UpdateSolution
Add HTML Page|Project.AddHTMLPage
Add Module|Project.AddModule
Add Windows Form|Project.AddWindowsForm
Add Web Form|Project.AddWebForm
Add Master Page|Project.AddMasterPage
Add User Control|Project.AddUserControl
Add Content Page|Project.AddContentPage
Add Web User Control|Project.AddWebUserControl
Add Component|Project.AddComponent
Add Web Service|Project.AddWebService
Add Style Sheet|Project.AddStyleSheet
Refresh Folder|ProjectandSolutionContextMenus.CrossProjectMultiItem.RefreshFolder
View Markup|View.ViewMarkup
Next Method|Edit.NextMethod
Previous Method|Edit.PreviousMethod
Create Snippet|EditorContextMenus.CodeWindow.CreateSnippet
Create Replacement|EditorContextMenus.CodeWindow.CreateReplacement
Insert Comment|EditorContextMenus.CodeWindow.InsertComment
View Component Designer|View.ViewComponentDesigner
Go To Type Definition|EditorContextMenus.CodeWindow.GoToTypeDefinition
Show Snippet Highlighting|Edit.ShowSnippetHighlighting
Hide Snippet Highlighting|Edit.HideSnippetHighlighting
Enable Bookmark|Edit.EnableBookmark
Delete Bookmark|OtherContextMenus.BookmarkWindow.DeleteBookmark
Enable All Bookmarks|Edit.EnableAllBookmarks
Next Bookmark In Folder|Edit.NextBookmarkInFolder
Previous Bookmark In Folder|Edit.PreviousBookmarkInFolder
Show All Files|Project.ShowAllFiles
Add Remove Columns|View.AddRemoveColumns
Sort|View.Sort
Set As Start Page|Project.SetAsStartPage
Recalculate Links|Project.RecalculateLinks
Web Permissions|Project.WebPermissions
Synchronize Folder|Project.SynchronizeFolder
Synchronize All Folders|Project.SynchronizeAllFolders
Copy Project|Project.CopyProject
Include In Project|Project.IncludeInProject
Exclude From Project|Project.ExcludeFromProject
Broken Links Report|View.BrokenLinksReport
Add Project Outputs|Project.AddProjectOutputs
Add Reference|Project.AddReference
Add Web Reference|Project.AddWebReference
Update Web Reference|Project.UpdateWebReference
Run Custom Tool|Project.RunCustomTool
View in Object Browser|ClassViewContextMenus.ClassViewProjectReference.ViewinObjectBrowser
Copy Web Site|Project.CopyWebSite
Start Options|Project.StartOptions
Detach|ProjectandSolutionContextMenus.CrossProjectMultiItem.Detach
Add Service Reference|Project.AddServiceReference
#Update Service Reference|Project.UpdateServiceReference
#Configure Service Reference|Project.ConfigureServiceReference
#Move Here|OtherContextMenus.DragandDrop.MoveHere
#Copy Here|OtherContextMenus.DragandDrop.CopyHere
#Test Dialog|Format.TestDialog
#Space Across|Format.SpaceAcross
#Space Down|Format.SpaceDown
#Toggle Guides|Format.ToggleGuides
#Sizeto Content|Format.SizetoContent
#Center Vertical|Format.CenterVertical
#Center Horizontal|Format.CenterHorizontal
Flip|Format.Flip
Button Right|Format.ButtonRight
Button Bottom|Format.ButtonBottom
Stretch|Format.Stretch
Fixed Width|Format.FixedWidth
Guide Settings|Format.GuideSettings
#Resource Includes|Edit.ResourceIncludes
#Resource Symbols|Edit.ResourceSymbols
#Open Binary Data|OtherContextMenus.ResourceView.OpenBinaryData
#Insert Copy|OtherContextMenus.ResourceView.InsertCopy
Insert|OtherContextMenus.ResourceView.Insert
Export|OtherContextMenus.ResourceView.Export
#Move Control Left|Edit.MoveControlLeft
#Move Control Down|Edit.MoveControlDown
#Move Control Right|Edit.MoveControlRight
#Move Control Up|Edit.MoveControlUp
#Size Control Down|Edit.SizeControlDown
#Size Control Up|Edit.SizeControlUp
#Size Control Left|Edit.SizeControlLeft
#Size Control Right|Edit.SizeControlRight
#New Accelerator|Edit.NewAccelerator
#Next Key Typed|Edit.NextKeyTyped
#Insert Active X Control|OtherContextMenus.ResourceDialogEditors.InsertActiveXControl
#Invert Colors|Image.InvertColors
#Flip Horizontal|Image.FlipHorizontal
#Flip Vertical|Image.FlipVertical
#Rotate90 Degrees|Image.Rotate90Degrees
#Show Colors Window|Image.ShowColorsWindow
#New String|Edit.NewString
#New Version Info Block|Edit.NewVersionInfoBlock
#Delete Version Info Block|Edit.DeleteVersionInfoBlock
#Adjust Colors|Image.AdjustColors
#Load Palette|Image.LoadPalette
#Save Palette|Image.SavePalette
#Check Mnemonics|Format.CheckMnemonics
#Draw Opaque|Image.DrawOpaque
#Toolbar Editor|Image.ToolbarEditor
#Grid Settings|Image.GridSettings
#New Image Type|Image.NewImageType
#Delete Image Type|Image.DeleteImageType
#View As Popup|Edit.ViewAsPopup
#Show Grid|Image.ShowGrid
#Show Tile Grid|Image.ShowTileGrid
#Magnify|Image.Magnify
#Open External Editor|Image.OpenExternalEditor
#Rectangle Selection Tool|Image.RectangleSelectionTool
#Irregular Selection Tool|Image.IrregularSelectionTool
#Color Selection Tool|Image.ColorSelectionTool
#Erase Tool|Image.EraseTool
#Fill Tool|Image.FillTool
#Pencil Tool|Image.PencilTool
#Brush Tool|Image.BrushTool
#Airbrush Tool|Image.AirbrushTool
#Line Tool|Image.LineTool
#Curve Tool|Image.CurveTool
#Text Tool|Image.TextTool
#Rectangle Tool|Image.RectangleTool
#Outlined Rectangle Tool|Image.OutlinedRectangleTool
#Filled Rectangle Tool|Image.FilledRectangleTool
#Rounded Rectangle Tool|Image.RoundedRectangleTool
#Outlined Rounded Rectangle Tool|Image.OutlinedRoundedRectangleTool
#Filled Rounded Rectangle Tool|Image.FilledRoundedRectangleTool
#Ellipse Tool|Image.EllipseTool
#Outlined Ellipse Tool|Image.OutlinedEllipseTool
#Filled Ellipse Tool|Image.FilledEllipseTool
#Magnification Tool|Image.MagnificationTool
#Larger Brush|Image.LargerBrush
#Small Brush|Image.SmallBrush
#Smaller Brush|Image.SmallerBrush
#Zoom In|Image.ZoomIn
#Zoom Out|Image.ZoomOut
#Previous Color|Image.PreviousColor
#Previous Right Color|Image.PreviousRightColor
#Next Color|Image.NextColor
#Next Right Color|Image.NextRightColor
#N E T Configuration|Project.ASP.NETConfiguration
Nest Related Files|Project.NestRelatedFiles
#Move Control Up Grid|Edit.MoveControlUpGrid
#Move Control Down Grid|Edit.MoveControlDownGrid
#Move Control Left Grid|Edit.MoveControlLeftGrid
#Move Control Right Grid|Edit.MoveControlRightGrid
#Size Control Right Grid|Edit.SizeControlRightGrid
#Size Control Up Grid|Edit.SizeControlUpGrid
#Size Control Left Grid|Edit.SizeControlLeftGrid
#Size Control Down Grid|Edit.SizeControlDownGrid
#Select Next Control|Edit.SelectNextControl
#Select Previous Control|Edit.SelectPreviousControl
Extract Method|Refactor.ExtractMethod
Encapsulate Field|Refactor.EncapsulateField
Extract Interface|Refactor.ExtractInterface
Remove Parameters|Refactor.RemoveParameters
Reorder Parameters|Refactor.ReorderParameters
Generate Method|Edit.GenerateMethod
#Implement Interface Stubs Implicitly|Edit.ImplementInterfaceStubsImplicitly
#Implement Interface Stubs Explicitly|Edit.ImplementInterfaceStubsExplicitly
#Implement Abstract Class Stubs|Edit.ImplementAbstractClassStubs
Surround With|Edit.SurroundWith
Toggle Output Window Word Wrap|ToggleOutputWindowWordWrap
Build Only Project|Build.BuildOnlyProject
Rebuild Only Project|Build.RebuildOnlyProject
Clean Only Project|Build.CleanOnlyProject
Build Startup Projects Only On Run|View.BuildStartupProjectsOnlyOnRun
Hide Folder|Project.HideFolder
Unhide Folders|Project.UnhideFolders
Copy Full Path|File.CopyFullPath
Import and Export Settings|Tools.ImportandExportSettings
Add New Solution Folder|Project.AddNewSolutionFolder
Track Activity in Solution Explorer|View.TrackActivityinSolutionExplorer
Clear Output Window|Edit.ClearOutputWindow
#Go To Output Window Location|Edit.GoToOutputWindowLocation
#Go To Output Window Next Location|Edit.GoToOutputWindowNextLocation
#Go To Output Window Prev Location|Edit.GoToOutputWindowPrevLocation
#Clear Find Results1|Edit.ClearFindResults1
#Go To Find Results1 Location|Edit.GoToFindResults1Location
#Go To Find Results1 Next Location|Edit.GoToFindResults1NextLocation
#Go To Find Results1 Prev Location|Edit.GoToFindResults1PrevLocation
#Clear Find Results2|Edit.ClearFindResults2
#Go To Find Results2 Location|Edit.GoToFindResults2Location
#Go To Find Results2 Next Location|Edit.GoToFindResults2NextLocation
#Go To Find Results2 Prev Location|Edit.GoToFindResults2PrevLocation
#Edit Project File|OtherContextMenus.StubProject.EditProjectFile
Open Folder in File Explorer|ProjectandSolutionContextMenus.Project.OpenFolderinFileExplorer
#Next Tool Window|Window.NextToolWindow
#Previous Tool Window|Window.PreviousToolWindow
Open Containing Folder|File.OpenContainingFolder
#Show Ez M D I File List|Window.ShowEzMDIFileList
#Next Tool Window Nav|Window.NextToolWindowNav
#Previous Tool Window Nav|Window.PreviousToolWindowNav
Run Code Analysison Only Project|Build.RunCodeAnalysisonOnlyProject
Run Code Analysison Selection|Build.RunCodeAnalysisonSelection
Run Code Analysis|ClassViewContextMenus.ClassViewProject.RunCodeAnalysis
Close All But This|File.CloseAllButThis
#Class View Show Inherited Members|View.ClassViewShowInheritedMembers
#Class View Show Base Types|View.ClassViewShowBaseTypes
