#################################################
# List of available commands
# Add commands from your own extensions here as
#################################################

Next Error|View.NextError
#Tfs Label Remove From Label|TeamFoundationContextMenus.Label.TfsLabelRemoveFromLabel
#Tfs Label History|TeamFoundationContextMenus.Label.TfsLabelHistory
#Tfs Label Compare|TeamFoundationContextMenus.Label.TfsLabelCompare
#Tfs Label Folder Diff|TeamFoundationContextMenus.Label.TfsLabelFolderDiff
#Tfs Label Annotate|TeamFoundationContextMenus.Label.TfsLabelAnnotate
#Tfs Label Get This Version|TeamFoundationContextMenus.Label.TfsLabelGetThisVersion
#Tfs Context Pending Checkins Pending Checkins View|TeamFoundationContextMenus.SourceControlPendingChangesSourceFiles.TfsContextPendingCheckinsPendingCheckinsView
#Tfs Context Pending Checkins Pending Checkins Undo|TeamFoundationContextMenus.SourceControlPendingChangesSourceFiles.TfsContextPendingCheckinsPendingCheckinsUndo
#Tfs Context Pending Checkins Pending Checkins Properties|TeamFoundationContextMenus.SourceControlPendingChangesSourceFiles.TfsContextPendingCheckinsPendingCheckinsProperties
#Tfs Context Pending Checkins Compare With Previous Version|TeamFoundationContextMenus.SourceControlPendingChangesSourceFiles.Compare.TfsContextPendingCheckinsCompareWithPreviousVersion
#Tfs Context Pending Checkins Compare With Workspace Version|TeamFoundationContextMenus.SourceControlPendingChangesSourceFiles.Compare.TfsContextPendingCheckinsCompareWithWorkspaceVersion
#Tfs Context Pending Checkins Compare With Latest Version|TeamFoundationContextMenus.SourceControlPendingChangesSourceFiles.Compare.TfsContextPendingCheckinsCompareWithLatestVersion
#Tfs Context Pending Checkins Open|TeamFoundationContextMenus.SourceControlPendingChangesWorkItems.TfsContextPendingCheckinsOpen
#Tfs Context Pending Checkins Find Next|TeamFoundationContextMenus.SourceControlPendingChangesWorkItems.TfsContextPendingCheckinsFindNext
#Tfs Context Pending Checkins Find Previous|TeamFoundationContextMenus.SourceControlPendingChangesWorkItems.TfsContextPendingCheckinsFindPrevious
#Tfs Context Pending Checkins Evaluate|TeamFoundationContextMenus.SourceControlPendingChangesPolicyWarnings.TfsContextPendingCheckinsEvaluate
#Tfs Pending Checkins Set Workspace|TeamFoundationContextMenus.PendingChangesCommandHolder.TfsPendingCheckinsSetWorkspace
#Tfs Pending Checkins Set Channel Index|TeamFoundationContextMenus.PendingChangesCommandHolder.TfsPendingCheckinsSetChannelIndex
#Tfs Context History Compare|TeamFoundationContextMenus.SourceControlHistoryChangesets.TfsContextHistoryCompare
#Tfs Context History Folder Diff|TeamFoundationContextMenus.SourceControlHistoryChangesets.TfsContextHistoryFolderDiff
#Tfs Context History Annotate|TeamFoundationContextMenus.SourceControlHistoryChangesets.TfsContextHistoryAnnotate
#Tfs Context History Track Changeset|TeamFoundationContextMenus.SourceControlHistoryChangesets.TfsContextHistoryTrackChangeset
#Tfs Context History View|TeamFoundationContextMenus.SourceControlHistoryChangesets.TfsContextHistoryView
#Tfs Context History Details|TeamFoundationContextMenus.SourceControlHistoryChangesets.TfsContextHistoryDetails
#Tfs Context History Get This Version|TeamFoundationContextMenus.SourceControlHistoryChangesets.TfsContextHistoryGetThisVersion
#Tfs Context History Rollback Changes In This Version|TeamFoundationContextMenus.SourceControlHistoryChangesets.TfsContextHistoryRollbackChangesInThisVersion
#Tfs Context History Request Review|TeamFoundationContextMenus.SourceControlHistoryChangesets.TfsContextHistoryRequestReview
#Tfs Context Folder Diff Compare Files|TeamFoundationContextMenus.FolderDifference.TfsContextFolderDiffCompareFiles
#Tfs Context Folder Diff View|TeamFoundationContextMenus.FolderDifference.TfsContextFolderDiffView
#Tfs Context Folder Diff Add Files|TeamFoundationContextMenus.FolderDifference.TfsContextFolderDiffAddFiles
#Tfs Context Folder Diff Delete|TeamFoundationContextMenus.FolderDifference.TfsContextFolderDiffDelete
#Tfs Context Folder Diff Delete Local Files|TeamFoundationContextMenus.FolderDifference.TfsContextFolderDiffDeleteLocalFiles
#Tfs Context Folder Diff Get Latest Version|TeamFoundationContextMenus.FolderDifference.TfsContextFolderDiffGetLatestVersion
#Tfs Context Folder Diff Get Specific Version|TeamFoundationContextMenus.FolderDifference.TfsContextFolderDiffGetSpecificVersion
#Tfs Context Folder Diff Reconcile|TeamFoundationContextMenus.FolderDifference.TfsContextFolderDiffReconcile
#Tfs Context Folder Diff Rerun Compare|TeamFoundationContextMenus.FolderDifference.TfsContextFolderDiffRerunCompare
#Tfs Context Folder Diff History|TeamFoundationContextMenus.FolderDifference.TfsContextFolderDiffHistory
#Tfs Context Folder Diff Properties|TeamFoundationContextMenus.FolderDifference.TfsContextFolderDiffProperties
#Tfs Context Folder Diff Check Out For Edit|TeamFoundationContextMenus.FolderDifference.TfsContextFolderDiffCheckOutForEdit
#Tfs Context Folder Diff Undo Pending Changes|TeamFoundationContextMenus.FolderDifference.TfsContextFolderDiffUndoPendingChanges
#Tfs Annotate View Changeset Details|EditorContextMenus.CodeWindow.SourceControl.TfsAnnotateViewChangesetDetails
#Tfs Annotate Move Previous Region|TeamFoundationContextMenus.Annotate.TfsAnnotateMovePreviousRegion
#Tfs Annotate Move Next Region|TeamFoundationContextMenus.Annotate.TfsAnnotateMoveNextRegion
#Tfs Annotate Fire Selection Changed|TeamFoundationContextMenus.Annotate.TfsAnnotateFireSelectionChanged
#Tfs Annotate View History|EditorContextMenus.CodeWindow.SourceControl.TfsAnnotateViewHistory
#Tfs Annotate Compare With Previous|EditorContextMenus.CodeWindow.SourceControl.TfsAnnotateCompareWithPrevious
#Tfs Annotate Annotate This Version|EditorContextMenus.CodeWindow.SourceControl.TfsAnnotateAnnotateThisVersion
#Tfs Annotate Track Changeset|EditorContextMenus.CodeWindow.SourceControl.TfsAnnotateTrackChangeset
#Tfs Annotate Get This Version|EditorContextMenus.CodeWindow.SourceControl.TfsAnnotateGetThisVersion
#Tfs Annotate Stop Annotation|EditorContextMenus.CodeWindow.SourceControl.TfsAnnotateStopAnnotation
#Tfs Annotate Copy Full Path|OtherContextMenus.EasyMDIToolWindow.TfsAnnotateCopyFullPath
#Tfs Annotate Annotate This Line|EditorContextMenus.CodeWindow.SourceControl.TfsAnnotateAnnotateThisLine
#Tfs Context Online View|TeamFoundationContextMenus.Online.TfsContextOnlineView
#Tfs Context Online Properties|TeamFoundationContextMenus.Online.TfsContextOnlineProperties
#Tfs Context Online Compare With Workspace Version|TeamFoundationContextMenus.Online.Compare.TfsContextOnlineCompareWithWorkspaceVersion
#Tfs Context Online Compare With Latest Version|TeamFoundationContextMenus.Online.Compare.TfsContextOnlineCompareWithLatestVersion
#Tfs Context History Labels Compare|TeamFoundationContextMenus.SourceControlHistoryLabels.TfsContextHistoryLabelsCompare
#Tfs Context History Labels Folder Diff|TeamFoundationContextMenus.SourceControlHistoryLabels.TfsContextHistoryLabelsFolderDiff
#Tfs Context History Labels Annotate|TeamFoundationContextMenus.SourceControlHistoryLabels.TfsContextHistoryLabelsAnnotate
#Tfs Context History Labels Track Changeset|TeamFoundationContextMenus.SourceControlHistoryLabels.TfsContextHistoryLabelsTrackChangeset
#Tfs Context History Labels View|TeamFoundationContextMenus.SourceControlHistoryLabels.TfsContextHistoryLabelsView
#Tfs Context History Labels Details|TeamFoundationContextMenus.SourceControlHistoryLabels.TfsContextHistoryLabelsDetails
#Tfs Context History Labels Delete Label|TeamFoundationContextMenus.SourceControlHistoryLabels.TfsContextHistoryLabelsDeleteLabel
#Tfs Context History Labels Get This Version|TeamFoundationContextMenus.SourceControlHistoryLabels.TfsContextHistoryLabelsGetThisVersion
#Tfs Context Pending Checkins Conflict Compare Local To Server|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareLocalToServer
#Tfs Context Pending Checkins Conflict Compare Target To Source|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareTargetToSource
#Tfs Context Pending Checkins Conflict Compare Local To Shelveset|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareLocalToShelveset
#Tfs Context Pending Checkins Conflict Compare Shelveset To Deleted|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareShelvesetToDeleted
#Tfs Context Pending Checkins Conflict Compare Unshelved To Original Workspace|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareUnshelvedToOriginalWorkspace
#Tfs Context Pending Checkins Conflict Compare Unshelved To Deleted|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareUnshelvedToDeleted
#Tfs Context Pending Checkins Conflict Compare Local To Original|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareLocalToOriginal
#Tfs Context Pending Checkins Conflict Compare Source To Base|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareSourceToBase
#Tfs Context Pending Checkins Conflict Compare Shelveset To Base|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareShelvesetToBase
#Tfs Context Pending Checkins Conflict Compare Unshelved To Base|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareUnshelvedToBase
#Tfs Context Pending Checkins Conflict Compare Server To Original|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareServerToOriginal
#Tfs Context Pending Checkins Conflict Compare Target To Base|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareTargetToBase
#Tfs Context Pending Checkins Conflict Compare Local To Base|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareLocalToBase
#Tfs Context Pending Checkins Conflict Compare Original Workspace To Base|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareOriginalWorkspaceToBase
#Tfs Context Pending Checkins Conflict Compare Local To Deleted|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareLocalToDeleted
#Tfs Context Pending Checkins Conflict Compare Source To Deleted|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareSourceToDeleted
#Tfs Context Pending Checkins Conflict Compare Deleted To Original|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareDeletedToOriginal
#Tfs Context Pending Checkins Conflict Compare Deleted To Base|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareDeletedToBase
#Tfs Context Pending Checkins Conflict Compare Original To Server|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareOriginalToServer
#Tfs Context Pending Checkins Conflict Compare Deleted To Target|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.Compare.TfsContextPendingCheckinsConflictCompareDeletedToTarget
#Tfs Context Pending Checkins Conflict History|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.TfsContextPendingCheckinsConflictHistory
#Tfs Context Pending Checkins Conflict Source History|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.TfsContextPendingCheckinsConflictSourceHistory
#Tfs Context Pending Checkins Conflict Target History|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.TfsContextPendingCheckinsConflictTargetHistory
#Tfs Context Pending Checkins Conflict Annotate|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.TfsContextPendingCheckinsConflictAnnotate
#Tfs Context Pending Checkins Conflict Source Annotate|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.TfsContextPendingCheckinsConflictSourceAnnotate
#Tfs Context Pending Checkins Conflict Target Annotate|TeamFoundationContextMenus.SourceControlPendingChangesConflicts.TfsContextPendingCheckinsConflictTargetAnnotate
#Tfs Context Branch Visualizer Changeset Details|TeamFoundationContextMenus.BranchVisualizer.TfsContextBranchVisualizerChangesetDetails
#Tfs Context Branch Visualizer Open In S C E|TeamFoundationContextMenus.BranchVisualizer.TfsContextBranchVisualizerOpenInSCE
#Tfs Context Branch Visualizer Properties|TeamFoundationContextMenus.BranchVisualizer.TfsContextBranchVisualizerProperties
#Tfs Context Branch Visualizer Branch|TeamFoundationContextMenus.BranchVisualizer.TfsContextBranchVisualizerBranch
#Tfs Context Branch Visualizer Merge|TeamFoundationContextMenus.BranchVisualizer.TfsContextBranchVisualizerMerge
#Tfs Context Branch Visualizer Compare|TeamFoundationContextMenus.BranchVisualizer.TfsContextBranchVisualizerCompare
#Tfs Branch Visualizer Track Work Item|TeamFoundationContextMenus.BranchVisualizerCommandHolder.TfsBranchVisualizerTrackWorkItem
#Tfs Context Mappings Copy|TeamFoundationContextMenus.Mappings.TfsContextMappingsCopy
#Tfs Context Mappings Cut|TeamFoundationContextMenus.Mappings.TfsContextMappingsCut
#Tfs Context Mappings Paste|TeamFoundationContextMenus.Mappings.TfsContextMappingsPaste
#Tfs Context Mappings Delete|TeamFoundationContextMenus.Mappings.TfsContextMappingsDelete
#Tfs Context Mappings Select All|TeamFoundationContextMenus.Mappings.TfsContextMappingsSelectAll
#Tfs Context Configure User Tools Original File|TeamFoundationContextMenus.ConfigureUserTools.TfsContextConfigureUserToolsOriginalFile
#Tfs Context Configure User Tools Modified File|TeamFoundationContextMenus.ConfigureUserTools.TfsContextConfigureUserToolsModifiedFile
#Tfs Context Configure User Tools Base File|TeamFoundationContextMenus.ConfigureUserTools.TfsContextConfigureUserToolsBaseFile
#Tfs Context Configure User Tools Merged File|TeamFoundationContextMenus.ConfigureUserTools.TfsContextConfigureUserToolsMergedFile
#Tfs Context Configure User Tools Command Line Option|TeamFoundationContextMenus.ConfigureUserTools.TfsContextConfigureUserToolsCommandLineOption
#Tfs Context Configure User Tools Original File Label|TeamFoundationContextMenus.ConfigureUserTools.TfsContextConfigureUserToolsOriginalFileLabel
#Tfs Context Configure User Tools Modified File Label|TeamFoundationContextMenus.ConfigureUserTools.TfsContextConfigureUserToolsModifiedFileLabel
#Tfs Context Configure User Tools Base File Label|TeamFoundationContextMenus.ConfigureUserTools.TfsContextConfigureUserToolsBaseFileLabel
#Tfs Context Configure User Tools Merged File Label|TeamFoundationContextMenus.ConfigureUserTools.TfsContextConfigureUserToolsMergedFileLabel
#Set Focuson Left Window|TeamFoundationContextMenus.MergeContextMenu.SetFocusonLeftWindow
#Set Focuson Result Window|TeamFoundationContextMenus.MergeContextMenu.SetFocusonResultWindow
#Set Focuson Right Window|TeamFoundationContextMenus.MergeContextMenu.SetFocusonRightWindow
#Tfs Context Promote Copy|TeamFoundationContextMenus.PromoteChanges.TfsContextPromoteCopy
#Tfs Context Promote Select All|TeamFoundationContextMenus.PromoteChanges.TfsContextPromoteSelectAll
#Tfs Context Promote Adds View In Explorer|TeamFoundationContextMenus.PromoteChanges.TfsContextPromoteAddsViewInExplorer
#Tfs Context Promote Adds Ignore This Item|TeamFoundationContextMenus.PromoteChanges.TfsContextPromoteAddsIgnoreThisItem
#Tfs Context Promote Adds Ignore By Extension|TeamFoundationContextMenus.PromoteChanges.TfsContextPromoteAddsIgnoreByExtension
#Tfs Context Promote Adds Ignore By File Name|TeamFoundationContextMenus.PromoteChanges.TfsContextPromoteAddsIgnoreByFileName
#Tfs Context Promote Adds Ignore By Folder|TeamFoundationContextMenus.PromoteChanges.TfsContextPromoteAddsIgnoreByFolder
#Tfs Context Promote Rename|TeamFoundationContextMenus.PromoteChanges.TfsContextPromoteRename
#Tfs Context Promote Deletes Restore This Item|TeamFoundationContextMenus.PromoteChanges.TfsContextPromoteDeletesRestoreThisItem
#Tfs Context Promote Adds Delete|TeamFoundationContextMenus.PromoteChanges.TfsContextPromoteAddsDelete
#Accept Merge|TeamFoundationContextMenus.MergeContextMenu.AcceptMerge
#Tfs Context Pending Changes Page Include Changes|TeamFoundationContextMenus.PendingChangesPageChangestoExclude.TfsContextPendingChangesPageIncludeChanges
#Tfs Context Pending Changes Page Exclude Changes|TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageExcludeChanges
#Tfs Context Pending Changes Page Annotate|TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageAnnotate
#Tfs Context Pending Changes Page Folder Diff|TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageFolderDiff
#Tfs Context Pending Changes Page Undo|TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageUndo
#Tfs Context Pending Changes Page View|TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageView
#Tfs Context Pending Changes Page Compare With Workspace Version|TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageCompareWithWorkspaceVersion
#Tfs Context Pending Changes Page Compare With Latest Version|TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageCompareWithLatestVersion
#Tfs Context Pending Changes Page Compare With Previous Version|TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageCompareWithPreviousVersion
#Tfs Context Pending Changes Page History|TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageHistory
#Tfs Context Pending Changes Page Remove Work Item|TeamFoundationContextMenus.PendingChangesPageWorkItems.TfsContextPendingChangesPageRemoveWorkItem
#Tfs Context Pending Changes Page Open Work Item|TeamFoundationContextMenus.PendingChangesPageWorkItems.TfsContextPendingChangesPageOpenWorkItem
#Tfs Context Pending Changes Page New Linked Work Item|TeamFoundationContextMenus.PendingChangesPageWorkItems.TfsContextPendingChangesPageNewLinkedWorkItem
#Tfs Context Pending Changes Page Create Copy Work Item|TeamFoundationContextMenus.PendingChangesPageWorkItems.TfsContextPendingChangesPageCreateCopyWorkItem
#Tfs Context Pending Changes Page Existing Link Work Item|TeamFoundationContextMenus.PendingChangesPageWorkItems.TfsContextPendingChangesPageExistingLinkWorkItem
#Tfs Context My Work Page Open Work Item|TeamFoundationContextMenus.MyWorkPageInProgress.TfsContextMyWorkPageOpenWorkItem
#Tfs Context My Work Page Add Work Item|TeamFoundationContextMenus.MyWorkPageInProgress.TfsContextMyWorkPageAddWorkItem
#Tfs Context My Work Page Remove Work Item|TeamFoundationContextMenus.MyWorkPageInProgress.TfsContextMyWorkPageRemoveWorkItem
#Tfs Context My Work Page Activate Work Item|TeamFoundationContextMenus.MyWorkPageMyWorkItems.TfsContextMyWorkPageActivateWorkItem
#Tfs Context My Work Page Shelve Task|TeamFoundationContextMenus.MyWorkPageInProgress.TfsContextMyWorkPageShelveTask
#Tfs Context My Work Page Unshelve Task|TeamFoundationContextMenus.MyWorkPageUnfinishedWork.TfsContextMyWorkPageUnshelveTask
#Tfs Context My Work Page Unshelve|TeamFoundationContextMenus.MyWorkPageUnfinishedWork.TfsContextMyWorkPageUnshelve
#Tfs Context My Work Page View Shelveset Details|TeamFoundationContextMenus.MyWorkPageUnfinishedWork.TfsContextMyWorkPageViewShelvesetDetails
#Tfs Context My Work Page Request Review|TeamFoundationContextMenus.MyWorkPageUnfinishedWork.TfsContextMyWorkPageRequestReview
#Tfs Context My Work Page Open Code Review|TeamFoundationContextMenus.MyWorkPageCodeReviews.TfsContextMyWorkPageOpenCodeReview
#Tfs Context Find Shelvesets Page View Shelveset Details|TeamFoundationContextMenus.FindShelvesetsPageResults.TfsContextFindShelvesetsPageViewShelvesetDetails
#Tfs Context Find Shelvesets Page Delete Shelveset|TeamFoundationContextMenus.FindShelvesetsPageResults.TfsContextFindShelvesetsPageDeleteShelveset
#Tfs Context Find Shelvesets Page Unshelve|TeamFoundationContextMenus.FindShelvesetsPageResults.TfsContextFindShelvesetsPageUnshelve
#Tfs Context Find Shelvesets Request Review|TeamFoundationContextMenus.FindShelvesetsPageResults.TfsContextFindShelvesetsRequestReview
#Tfs Context Pending Changes Find Shelvesets|TeamFoundationContextMenus.PendingChangesPageMoreLink.TfsContextPendingChangesFindShelvesets
#Tfs Context Pending Changes Resolve Conflicts|TeamFoundationContextMenus.PendingChangesPageMoreLink.TfsContextPendingChangesResolveConflicts
#Tfs Context Pending Changes Undo All|TeamFoundationContextMenus.PendingChangesPageMoreLink.TfsContextPendingChangesUndoAll
#Tfs Context Pending Changes Request Review|TeamFoundationContextMenus.PendingChangesPageMoreLink.TfsContextPendingChangesRequestReview
#Tfs Context Pending Changes Filter None|TeamFoundationContextMenus.PendingChangesFilterChangesLink.TfsContextPendingChangesFilterNone
#Tfs Context Pending Changes Filter By Solution|TeamFoundationContextMenus.PendingChangesFilterChangesLink.TfsContextPendingChangesFilterBySolution
#Tfs Context Pending Changes Filter By Text|TeamFoundationContextMenus.PendingChangesFilterChangesLink.TfsContextPendingChangesFilterByText
#Tfs Context Pending Changes Page Work Item Action Link Associate|TeamFoundationContextMenus.WorkItemActionLink.TfsContextPendingChangesPageWorkItemActionLinkAssociate
#Tfs Context Pending Changes Page Work Item Action Link Resolve|TeamFoundationContextMenus.WorkItemActionLink.TfsContextPendingChangesPageWorkItemActionLinkResolve
#Tfs Context Pending Changes Page Include Unselected Changes|TeamFoundationContextMenus.PendingChangesPageChangestoExclude.TfsContextPendingChangesPageIncludeUnselectedChanges
#Tfs Context Pending Changes Page Exclude Unselected Changes|TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageExcludeUnselectedChanges
#Tfs Context Pending Changes Page Open In S C E|TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageOpenInSCE
#Tfs Context Pending Changes Open S C E|TeamFoundationContextMenus.PendingChangesPageMoreLink.TfsContextPendingChangesOpenSCE
#Tfs Context Changeset Details Request Review|TeamFoundationContextMenus.ChangesetDetailsPageMoreLink.TfsContextChangesetDetailsRequestReview
#Tfs Context Changeset Details Open In Browser|TeamFoundationContextMenus.ChangesetDetailsPageMoreLink.TfsContextChangesetDetailsOpenInBrowser
#Tfs Context Shelveset Details Open In Browser|TeamFoundationContextMenus.ShelvesetDetailsPageMoreLink.TfsContextShelvesetDetailsOpenInBrowser
#Go To Pending Changes|TeamFoundationContextMenus.Commands.GoToPendingChanges
#Go To My Work|TeamFoundationContextMenus.Commands.GoToMyWork
#Tfs Context My Work Page Create Copy W I|TeamFoundationContextMenus.MyWorkPageInProgress.TfsContextMyWorkPageCreateCopyWI
#Tfs Context My Work Page New Linked W I|TeamFoundationContextMenus.MyWorkPageInProgress.TfsContextMyWorkPageNewLinkedWI
#Tfs Context My Work Page Existing Link W I|TeamFoundationContextMenus.MyWorkPageInProgress.TfsContextMyWorkPageExistingLinkWI
#Tfs Context My Work Page View Details|TeamFoundationContextMenus.MyWorkPageInProgress.TfsContextMyWorkPageViewDetails
#Tfs Context My Work Page Print Selection Details|TeamFoundationContextMenus.MyWorkPageInProgress.TfsContextMyWorkPagePrintSelectionDetails
Open in Browser|TeamFoundationContextMenus.MyWorkPageInProgress.OpeninBrowser
#Add to In Progress|TeamFoundationContextMenus.MyWorkPageInProgress.AddtoInProgress
Removefrom In Progress|TeamFoundationContextMenus.MyWorkPageInProgress.RemovefromInProgress
Send Work Item to Microsoft Outlook|TeamFoundationContextMenus.MyWorkPageInProgress.SendWorkItemtoMicrosoftOutlook
#Tfs Unshelve Pending Changes|File.TfsUnshelvePendingChanges
#Tfs Resume Conflict Resolution|File.TfsResumeConflictResolution
#Tfs Shelve Pending Changes|File.TfsShelvePendingChanges
#Tfs Move|File.TfsMove
#Tfs View|File.TfsView
#Tfs Lock|File.TfsLock
#Tfs Add To Source Control|File.TfsAddToSourceControl
#Tfs Undelete|File.TfsUndelete
#Tfs New Folder|File.TfsNewFolder
#Tfs Unlock|File.TfsUnlock
#Tfs Annotate|File.TfsAnnotate
#Tfs Folder Diff|File.TfsFolderDiff
#Tfs Online|File.TfsOnline
#Tfs Set Local Folder|File.TfsSetLocalFolder
#Tfs Cloak|File.TfsCloak
#Tfs Uncloak|File.TfsUncloak
#Tfs Unmap|File.TfsUnmap
#Tfs Find Changesets|File.TfsFindChangesets
#Tfs Context Explorer View|TeamFoundationContextMenus.SourceControlExplorer.TfsContextExplorerView
#Tfs Context Explorer Lock|TeamFoundationContextMenus.SourceControlExplorer.Advanced.TfsContextExplorerLock
#Tfs Context Explorer Unlock|TeamFoundationContextMenus.SourceControlExplorer.Advanced.TfsContextExplorerUnlock
#Tfs Context Explorer Delete|TeamFoundationContextMenus.SourceControlExplorer.TfsContextExplorerDelete
#Tfs Context Explorer Undelete|TeamFoundationContextMenus.SourceControlExplorer.TfsContextExplorerUndelete
#Tfs Context Explorer Rename|TeamFoundationContextMenus.SourceControlExplorer.TfsContextExplorerRename
#Tfs Context Explorer Add|TeamFoundationContextMenus.SourceControlExplorer.TfsContextExplorerAdd
#Tfs Context Explorer Shelve Pending Changes|TeamFoundationContextMenus.SourceControlExplorer.TfsContextExplorerShelvePendingChanges
#Tfs Context Explorer Branch|File.TfsContextExplorerBranch
#Tfs Context Explorer Merge|File.TfsContextExplorerMerge
#Tfs Context Explorer Move|TeamFoundationContextMenus.SourceControlExplorer.TfsContextExplorerMove
#Tfs Context Explorer Apply Label|TeamFoundationContextMenus.SourceControlExplorer.Advanced.TfsContextExplorerApplyLabel
#Tfs Context Explorer New Folder|TeamFoundationContextMenus.SourceControlExplorer.TfsContextExplorerNewFolder
#Tfs Context Explorer Properties|TeamFoundationContextMenus.SourceControlExplorer.Advanced.TfsContextExplorerProperties
#Tfs Context Explorer Annotate|TeamFoundationContextMenus.SourceControlExplorer.TfsContextExplorerAnnotate
#Tfs Context Explorer Folder Diff|TeamFoundationContextMenus.SourceControlExplorer.TfsContextExplorerFolderDiff
#Tfs Context Explorer Set Local Folder|TeamFoundationContextMenus.SourceControlExplorer.Advanced.TfsContextExplorerSetLocalFolder
#Tfs Context Explorer Cloak|TeamFoundationContextMenus.SourceControlExplorer.Advanced.TfsContextExplorerCloak
#Tfs Context Explorer Uncloak|TeamFoundationContextMenus.SourceControlExplorer.Advanced.TfsContextExplorerUncloak
#Tfs Context Explorer Unmap|TeamFoundationContextMenus.SourceControlExplorer.Advanced.TfsContextExplorerUnmap
#Tfs View Branch Hierarchy|File.TfsViewBranchHierarchy
#Tfs Convert Folder To Branch|File.TfsConvertFolderToBranch
#Tfs Convert Branch To Folder|File.TfsConvertBranchToFolder
#Tfs Reparent Branch|File.TfsReparentBranch
#Tfs Context Explorer Security|TeamFoundationContextMenus.SourceControlExplorer.Advanced.TfsContextExplorerSecurity
#Tfs Context Explorer Rollback|TeamFoundationContextMenus.SourceControlExplorer.TfsContextExplorerRollback
#Tfs Manage Workspaces|TeamFoundationContextMenus.PendingChangesPageMoreLink.TfsManageWorkspaces
#tfc|Tfs.tfc
#Connectto Team Foundation Server With Dialog|Team.ConnecttoTeamFoundationServerWithDialog
#Connect|Team.Connect
#Connectto Team Foundation Server|Team.ConnecttoTeamFoundationServer
#Disconnectfrom Team Foundation Server|Team.DisconnectfromTeamFoundationServer
#Team Project Process Guidance|Help.TeamProjectProcessGuidance
#Tfs Exclude From Source Control|File.TfsExcludeFromSourceControl
#Tfs Check Out|File.TfsCheckOut
#Tfs Context Check Out For Edit|TfsContextCheckOutForEdit
#Tfs Get Latest Version|File.TfsGetLatestVersion
#Tfs Check In|File.TfsCheckIn
#Tfs Context Add Selected Projects To Source Control|ClassViewContextMenus.ClassViewProject.TfsContextAddSelectedProjectsToSourceControl
#Tfs Workspaces|File.TfsWorkspaces
#Tfs Find Label|File.TfsFindLabel
#Tfs Apply Label|File.TfsApplyLabel
#Tfs Refresh Status|File.TfsRefreshStatus
